title,author,length
Murder at Ashton Steeple,By: Karen Baugh Menuhin,Length: 8 hrs and 40 mins
Rift in the Soul,By: Faith Hunter,Length: 15 hrs and 21 mins
White Wolf,By: John Conroe,Length: 17 hrs and 38 mins
Accidental Champion,By: Todd Herzman,Length: 20 hrs and 46 mins
The Devil You Know,By: Ali Vali,Length: 11 hrs and 14 mins
So This Is War,By: Meghan Quinn,Length: 13 hrs and 45 mins
All Witches on Deck,By: Amanda M. Lee,Length: 9 hrs and 51 mins
Four Horsemen,By: Michael Chatfield,Length: 14 hrs and 3 mins
Witches Get Stitches,By: Lily Harper Hart,Length: 7 hrs and 28 mins
Houseswap 101,By: Jaime Clevenger,Length: 8 hrs and 39 mins
Nobody Like Us,"By: Krista Ritchie, Becca Ritchie",Length: 25 hrs and 21 mins
Alpha,By: Aleron Kong,Length: 14 hrs and 1 min
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
The Primal Hunter 9: A LitRPG Adventure,By: Zogarth,Length: 20 hrs and 23 mins
Slash or Pass,By: Tylor Paige,Length: 10 hrs and 27 mins
The Worlds of S.E. Smith,By: S.E. Smith,Length: 3 hrs and 1 min
The Feud,By: Sawyer Bennett,Length: 8 hrs and 35 mins
A Cage of Crimson,By: K.F. Breene,Length: 15 hrs and 33 mins
Paw-ful Premonition,By: Danielle Garrett,Length: 5 hrs and 58 mins
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
Chaos,By: Luna Mason,Length: 10 hrs and 9 mins
Filthy Rich Fae,By: Geneva Lee,Length: 14 hrs and 27 mins
Second Chance Swordsman 3,By: Jakob Tanner,Length: 15 hrs and 48 mins
Sanctuary,By: Ilona Andrews,Length: 4 hrs and 27 mins
"Something Lost, Something Gained",By: Hillary Rodham Clinton,Length: 11 hrs
Murder in Mayfair,By: Verity Bright,Length: 9 hrs and 46 mins
Unhumans,"By: Jack Posobiec, Joshua Lisec",Length: 10 hrs and 1 min
Scythe & Sparrow,By: Brynne Weaver,Length: Not Yet Known
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins
Fake Out Hearts,By: Nikki Lawson,Length: 13 hrs and 40 mins
Aether,By: Molly J. Bragg,Length: 10 hrs and 23 mins
Requiem for a Mouse,By: Miranda James,Length: 7 hrs and 42 mins
"Capture, Evolve, Survive: Book 1",By: Dante King,Length: 10 hrs and 8 mins
Of Humans and Empires: Boxset,By: Aaron Holloway,Length: 5 hrs and 6 mins
The Edges of Power,"By: Alexey Osadchuk, Zachary J. Lorang - translated by",Length: 9 hrs and 11 mins
Blood for Power 2,By: Scott W. James,Length: 10 hrs and 29 mins
Love Without Numbers,By: Jade Dollston,Length: 11 hrs and 10 mins
Murder at the Rusty Anchor,By: Maddie Day,Length: 7 hrs and 1 min
Murder at an English Séance,By: Jessica Ellicott,Length: 9 hrs and 30 mins
Protocols,By: Andrew Huberman,Length: Not Yet Known
A Ruse of Shadows,By: Sherry Thomas,Length: 13 hrs and 3 mins
Amish Circle of Blessings,By: Samantha Price,Length: 3 hrs and 45 mins
Wayward Earth,"By: Jason Anspach, J.N. Chaney",Length: 12 hrs and 40 mins
Protocols,By: Andrew D. Huberman Ph.D.,Length: 10 hrs
Goddess Rising,By: Rain Harlow,Length: 20 hrs and 3 mins
Protecting Remi,By: Susan Stoker,Length: 8 hrs and 51 mins
Whispers of the Deep,By: Emma Hamm,Length: 10 hrs and 37 mins
The Iron Wolfe,By: C.J. Petit,Length: 11 hrs and 1 min
Rise of the Last Summoner 1,By: Todd Herzman,Length: 10 hrs and 2 mins
Tangled Up in You,By: Christina Lauren,Length: 9 hrs and 56 mins
Lost,By: John G. Hartness,Length: 8 hrs and 36 mins
Legend of the Arch Magus: Publisher's Pack 6,By: Michael Sisa,Length: 14 hrs and 26 mins
The Rumble and the Glory,By: JA Huss,Length: 11 hrs and 32 mins
The Front Runner,By: Elsie Silver,Length: 9 hrs and 26 mins
Ascension,By: Kerberos,Length: 9 hrs and 37 mins
Grown Folks Confessions: Black Lush,By: Sherelle Green,Length: 4 hrs and 48 mins
Democracy or Else,"By: Jon Favreau, Jon Lovett, Tommy Vietor, Josh Halloway",Length: 3 hrs and 15 mins
The Cuillin Dead,By: J M Dalgliesh,Length: 9 hrs and 27 mins
Junkyard Roadhouse,By: Faith Hunter,Length: 4 hrs and 36 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
Magic Rises (Dramatized Adaptation),By: Ilona Andrews,Length: 11 hrs
Resurrection,By: Danielle Steel,Length: 6 hrs and 59 mins
All the Colors of the Dark,By: Chris Whitaker,Length: 14 hrs and 37 mins
Dawn of the Density God,By: ToraAKR,Length: 14 hrs and 42 mins
The Silurian Bridge,By: Greig Beck,Length: 14 hrs and 35 mins
Sunrise on the Reaping,By: Suzanne Collins,Length: Not Yet Known
My Darling Dreadful Thing,By: Johanna van Veen,Length: 9 hrs and 58 mins
Will Leave the Galaxy for Good,By: Yahtzee Croshaw,Length: 9 hrs and 50 mins
Revenge of the Tipping Point,By: Malcolm Gladwell,Length: 8 hrs and 30 mins
Sovereign,By: Raya Morris Edwards,Length: 10 hrs and 49 mins
Building Mental Toughness,By: Amber Preston,Length: 4 hrs and 13 mins
Elfed in New York: Whisperers,By: Erik Schubach,Length: 6 hrs and 1 min
A Death in Cornwall,By: Daniel Silva,Length: 9 hrs and 24 mins
Would You Rather,By: Adventure Awaits Publishing,Length: 1 hr and 50 mins
Children of Anguish and Anarchy,By: Tomi Adeyemi,Length: 10 hrs and 2 mins
A Novel Love Story,By: Ashley Poston,Length: 10 hrs and 56 mins
Love Letters to a Serial Killer,By: Tasha Coryell,Length: 8 hrs and 59 mins
When the Night Comes Falling,By: Howard Blum,Length: 5 hrs and 43 mins
Onyx Storm,By: Rebecca Yarros,Length: 14 hrs and 15 mins
The Sinner,By: Dannika Dark,Length: 11 hrs and 4 mins
You'll Never Find Me,By: Allison Brennan,Length: 10 hrs and 31 mins
The Hidden Falling,By: Kelly Cove,Length: 12 hrs and 21 mins
Throne World,By: B.V. Larson,Length: 12 hrs and 29 mins
The Hunter's Gambit,By: Ciel Pierlot,Length: 11 hrs and 16 mins
Indaria,By: SunriseCV,Length: 13 hrs and 57 mins
Lord of Punishment,By: Piper Stone,Length: 9 hrs and 43 mins
Sentinel,By: Mark Greaney,Length: 13 hrs and 34 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs
Red Man,By: Richard Fox,Length: 8 hrs and 11 mins
The Shadow of Dread,By: T.C. Edge,Length: 40 hrs and 46 mins
Paved in Blood,By: Sonja Grey,Length: 10 hrs and 7 mins
Ignited,By: Becca Steele,Length: 6 hrs and 54 mins
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",By: Haylock Jobson,Length: 17 hrs and 46 mins
Incidents Around the House,By: Josh Malerman,Length: 8 hrs and 23 mins
Path of the Berserker 2: A Daopocalypse Progression Fantasy,By: Rick Scott,Length: 23 hrs and 6 mins
Pitch Dark,By: Paul Doiron,Length: 8 hrs and 22 mins
The Last Ship,By: Nicholas Sansbury Smith,Length: 12 hrs and 41 mins
Navola,By: Paolo Bacigalupi,Length: Not Yet Known
Husbands & Lovers,By: Beatriz Williams,Length: 12 hrs and 31 mins
Sylver Seeker 4,By: Kennit Kenway,Length: 20 hrs and 50 mins
The Cycle of Galand,By: Edward W. Robertson,Length: 26 hrs and 49 mins
Knot for a Moment,By: Devyn Sinclair,Length: 17 hrs and 30 mins
Flashback,"By: Iris Johansen, Roy Johansen",Length: 8 hrs and 10 mins
Desolation,"By: Mark Morton, Ben Opipari - contributor",Length: 9 hrs and 2 mins
Safe for Now,By: Bob Howard,Length: 12 hrs and 55 mins
World Undone,By: Sarah Lyons Fleming,Length: 14 hrs and 10 mins
"Shifting the Balance, Grades 3-5","By: Katie Egan Cunningham, Jan Miller Burkins, Kari Yates",Length: 7 hrs and 26 mins
"Overlord, Vol. 14","By: Kugane Maruyama, so-bin - illustrator, Andrew Cunningham - translator",Length: 10 hrs
Here One Moment,By: Liane Moriarty,Length: 18 hrs
Wicked Surrender,By: Heather Long,Length: 8 hrs and 42 mins
Ask Not,By: Maureen Callahan,Length: 11 hrs and 18 mins
A Cursed Son,By: Day Leitao,Length: 15 hrs and 20 mins
Viper,By: Suzanne Wright,Length: 10 hrs
Whispers in the Dark,"By: Nikole Knight, Lily Mayne",Length: 10 hrs and 24 mins
One Cursed Rose,By: Rebecca Zanetti,Length: 11 hrs and 42 mins
The Boyfriend,By: Freida McFadden,Length: 9 hrs and 13 mins
The Garden Against Time,By: Olivia Laing,Length: 9 hrs and 17 mins
Tax-Free Wealth,"By: Tom Wheelwright CPA, Robert Kiyosaki - foreword",Length: 8 hrs and 50 mins
Frames of Mind,By: Howard E. Gardner,Length: 15 hrs and 30 mins
Bonded in Death,By: J. D. Robb,Length: 10 hrs and 30 mins
The Cycle of Galand,By: Edward W. Robertson,Length: 26 hrs and 49 mins
Knot for a Moment,By: Devyn Sinclair,Length: 17 hrs and 30 mins
Flashback,"By: Iris Johansen, Roy Johansen",Length: 8 hrs and 10 mins
Desolation,"By: Mark Morton, Ben Opipari - contributor",Length: 9 hrs and 2 mins
Safe for Now,By: Bob Howard,Length: 12 hrs and 55 mins
World Undone,By: Sarah Lyons Fleming,Length: 14 hrs and 10 mins
"Shifting the Balance, Grades 3-5","By: Katie Egan Cunningham, Jan Miller Burkins, Kari Yates",Length: 7 hrs and 26 mins
"Overlord, Vol. 14","By: Kugane Maruyama, so-bin - illustrator, Andrew Cunningham - translator",Length: 10 hrs
Here One Moment,By: Liane Moriarty,Length: 18 hrs
Wicked Surrender,By: Heather Long,Length: 8 hrs and 42 mins
Ask Not,By: Maureen Callahan,Length: 11 hrs and 18 mins
A Cursed Son,By: Day Leitao,Length: 15 hrs and 20 mins
Viper,By: Suzanne Wright,Length: 10 hrs
Whispers in the Dark,"By: Nikole Knight, Lily Mayne",Length: 10 hrs and 24 mins
One Cursed Rose,By: Rebecca Zanetti,Length: 11 hrs and 42 mins
The Boyfriend,By: Freida McFadden,Length: 9 hrs and 13 mins
The Garden Against Time,By: Olivia Laing,Length: 9 hrs and 17 mins
Tax-Free Wealth,"By: Tom Wheelwright CPA, Robert Kiyosaki - foreword",Length: 8 hrs and 50 mins
Frames of Mind,By: Howard E. Gardner,Length: 15 hrs and 30 mins
Bonded in Death,By: J. D. Robb,Length: 10 hrs and 30 mins
Wind and Truth,By: Brandon Sanderson,Length: 55 hrs
LastRock,By: Phil Tucker,Length: 26 hrs and 2 mins
The Daughters' War,By: Christopher Buehlman,Length: 13 hrs and 14 mins
The God of the Woods,By: Liz Moore,Length: 14 hrs and 35 mins
The Songbird and the Heart of Stone,By: Carissa Broadbent,Length: 15 hrs and 33 mins
The House of Beckham,By: Tom Bower,Length: 14 hrs and 10 mins
The Devil Wears Scrubs,By: Freida McFadden,Length: Not Yet Known
Rune Seeker 3,"By: J.M. Clarke, C.J. Thompson",Length: 24 hrs and 24 mins
Nemesis,By: Gregg Hurwitz,Length: 15 hrs
A War of Hearts and Fate,By: N. E. Henderson,Length: 10 hrs and 22 mins
"Apocalypse Redux, Book 6",By: Jakob H. Greif,Length: 16 hrs and 13 mins
Cue the Sun!,By: Emily Nussbaum,Length: 15 hrs and 11 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,By: Casualfarmer,Length: 30 hrs and 8 mins
Emperor's End,By: Kyle Kirrin,Length: 16 hrs and 18 mins
Trust Her,By: Flynn Berry,Length: 8 hrs and 45 mins
Bright Lights and Summer Nights,By: Kat Singleton,Length: 13 hrs and 20 mins
"Love, Utley",By: S.J. Tilly,Length: 8 hrs and 40 mins
"Solar Dragons Need Love, Too! The Catch-Up Omnibus, Books 1-6",By: Virgil Knightley,Length: 55 hrs and 24 mins
The Black Bird Oracle,By: Deborah Harkness,Length: 17 hrs and 3 mins
"Love, Alice",By: Barbara Davis,Length: 13 hrs and 21 mins
The Healer's Way #4,"By: Oleg Sapphire, Alexey Kovtunov, Jennifer E. Sunseri - translator",Length: 8 hrs and 41 mins
Bitter Waters,By: Vivian Shaw,Length: 4 hrs and 40 mins
Dire Straits and Entwined Fates,By: Alice Winters,Length: 10 hrs and 29 mins
More of You,By: A.L. Jackson,Length: 11 hrs and 35 mins
A Foreboding of Woe,By: Azalea Ellis,Length: 30 hrs and 13 mins
All the Worst Humans,By: Phil Elwood,Length: 6 hrs and 42 mins
A Happier Life,By: Kristy Woodson Harvey,Length: 12 hrs and 9 mins
Secrets in the Squalor,By: Drew Strickland,Length: 7 hrs and 57 mins
Soulbound 3: A Haremlit Fantasy Adventure,By: Cassius Lange,Length: 11 hrs and 2 mins
Bronze Rank Brewer,By: James Ghoul,Length: 21 hrs and 52 mins
Everyone Knows but You,By: Thomas E. Ricks,Length: 6 hrs and 7 mins
"Heretical Fishing 2: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",By: Haylock Jobson,Length: Not Yet Known
Colin,By: Grae Bryan,Length: 7 hrs and 33 mins
You Are a Channel,By: Sara Landon,Length: 7 hrs and 16 mins
Tom Clancy Defense Protocol,"By: Brian Andrews, Jeffrey Wilson",Length: 15 hrs
Finding Mr. Write,By: Kelley Armstrong,Length: 10 hrs and 27 mins
Organizing with ADHD Made Simple,By: Cameran Aiesi,Length: 4 hrs and 12 mins
Against Orders,By: Nancy S. Thompson,Length: 14 hrs and 20 mins
The Red Book,"By: C. G. Jung, Sonu Shamdasani - editor translator",Length: 20 hrs and 16 mins
Tuesday,By: Draith,Length: 14 hrs and 23 mins
Shadow & Storms,By: Helen Scheuerer,Length: 15 hrs and 17 mins
Becoming Earth,By: Ferris Jabr,Length: 9 hrs and 27 mins
The Singularity Is Nearer,By: Ray Kurzweil,Length: 10 hrs and 25 mins
The Naughty List,By: Jade West,Length: 9 hrs and 11 mins
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 11 hrs
How to Become More Feminine: Femme Fatale Secrets,By: Crystal Mendoza,Length: 10 hrs and 57 mins
Ember,"By: Jeffrey Wilson, Brian Andrews",Length: 14 hrs
Shameless,By: Brian Tyler Cohen,Length: 5 hrs
The Briar Club,By: Kate Quinn,Length: 15 hrs and 3 mins
Parenting Teens with Love & Logic,"By: Foster Cline, Jim Fay",Length: 10 hrs and 27 mins
Hostile Takeover,By: Franklin Horton,Length: 8 hrs and 41 mins
Dreamer's Throne 3,By: Seth Ring,Length: 11 hrs and 50 mins
The Bright Sword,By: Lev Grossman,Length: 23 hrs and 10 mins
City of the Damned,By: David Guymer,Length: 12 hrs and 56 mins
Brave New You,By: Cory Allen,Length: 6 hrs and 28 mins
Market for Murder,By: Heather Graham,Length: 9 hrs and 4 mins
The Angry Land,"By: William W. Johnstone, J. A. Johnstone",Length: 9 hrs and 7 mins
"Meditations for Ancestral Healing, Guidance & Veneration",By: Abiola Abrams,Length: 1 hr and 43 mins
Shanghai,By: Joseph Kanon,Length: 10 hrs and 24 mins
Don't Let the Devil Ride,By: Ace Atkins,Length: 14 hrs and 42 mins
Voracious,By: James T. Callum,Length: 16 hrs and 34 mins
Wildest Dreams,By: Kristen Proby,Length: 9 hrs and 13 mins
Legend to Farmer 2,By: Dante King,Length: 8 hrs and 40 mins
A Lamb to the Slaughter,"By: William W. Johnstone, J. A. Johnstone",Length: 8 hrs and 13 mins
Fall with Me,By: Becka Mack,Length: 16 hrs and 21 mins
"Rise of the Weakest Summoner, Volume IX",By: J.R. Saileri,Length: 19 hrs
A Daughter of Fair Verona,By: Christina Dodd,Length: 8 hrs and 23 mins
Parenting with Love & Logic,"By: Foster Cline, Jim Fay",Length: 9 hrs and 24 mins
Knot Guaranteed,By: Jillian West,Length: 9 hrs and 37 mins
How the Light Gets In,By: Joyce Maynard,Length: 16 hrs and 38 mins
Going Home,By: Brad Dennison,Length: 8 hrs and 28 mins
Summer Romance,By: Annabel Monaghan,Length: 8 hrs and 27 mins
Echo of Worlds,By: M. R. Carey,Length: 16 hrs and 56 mins
To Die For,By: David Baldacci,Length: 12 hrs
Wild Heart,By: Ivy Layne,Length: 11 hrs and 3 mins
Not Just Gal Pals,By: Elizabeth Luly,Length: 7 hrs and 15 mins
Enemy A(n)t the Gates,By: RinoZ,Length: 20 hrs and 49 mins
Kingdom of Claw,By: Demi Winters,Length: 24 hrs and 47 mins
The Mirror,By: Nora Roberts,Length: 14 hrs and 24 mins
Siege of Vraks,By: Steve Lyons,Length: 9 hrs and 48 mins
All the Dust That Falls 3,By: zaifyr,Length: 19 hrs and 7 mins
Encore,By: Helen Hardt,Length: 7 hrs and 51 mins
Play It as It Lays,By: Joan Didion,Length: 3 hrs and 51 mins
Hell Divers XII: Heroes,By: Nicholas Sansbury Smith,Length: 13 hrs and 30 mins
Rebel's Ultimatum,"By: J.N. Chaney, Scott Moon",Length: 10 hrs and 53 mins
The Legend of Randidly Ghosthound 8,"By: Noret Flood, puddles4263",Length: 29 hrs and 7 mins
Now or Never,By: Janet Evanovich,Length: 8 hrs
Tress of the Emerald Sea,By: Brandon Sanderson,Length: 12 hrs and 27 mins
Wolves of the Wastes,By: D.E. Sherman,Length: 18 hrs and 19 mins
The Forsaken,By: Christopher G. Nuttall,Length: 12 hrs and 33 mins
Heavy Is the Crown,"By: J.N. Chaney, Terry Maggert",Length: 10 hrs and 5 mins
Tinker Tailor Soldier Spy,By: John Le Carré,Length: 11 hrs and 52 mins
Ashborn Primordial 2,By: Vowron Prime,Length: 16 hrs and 39 mins
Our Little Secret,By: Lisa Jackson,Length: 13 hrs and 34 mins
Passions in Death: An Eve Dallas Novel,By: J. D. Robb,Length: 13 hrs and 54 mins
From Blood and Ash (Part 1 of 2) (Dramatized Adaptation),By: Jennifer L. Armentrout,Length: 7 hrs
Capture or Kill,"By: Vince Flynn, Don Bentley",Length: 12 hrs
The Mist Thief,By: LJ Andrews,Length: 14 hrs and 6 mins
Bear,By: Julia Phillips,Length: 7 hrs and 51 mins
Frigid Magic,By: Bruce Sentar,Length: 15 hrs and 24 mins
Somewhere Beyond the Sea,By: TJ Klune,Length: 12 hrs
Learn Spanish for Beginners: +20H Bundle,By: Emily Montgomery,Length: 23 hrs and 17 mins
Collapse,By: Sean Oswald,Length: 12 hrs and 51 mins
Do I Know You?,By: Sadie Dingfelder,Length: 7 hrs and 26 mins
Secrets and Strife: An Isekai LitRPG,By: SourpatchHero,Length: 18 hrs and 53 mins
A Stealthy Situation,By: Saxon James,Length: 6 hrs and 47 mins
My Choice Is You,By: Mel Dau,Length: 5 hrs and 59 mins
At the Edge of Empire,By: Edward Wong,Length: 16 hrs and 49 mins
Master Menopause with Grace,By: Maya Bloom,Length: 3 hrs and 50 mins
We Who Wrestle with God,By: Jordan B. Peterson,Length: 13 hrs
Honey,By: Isabel Banta,Length: 9 hrs and 12 mins
Fragile Sanctuary,By: Catherine Cowles,Length: 11 hrs and 32 mins
The Knight,By: Will Wight,Length: 9 hrs and 48 mins
La generación ansiosa,"By: Jonathan Haidt, Verónica Puertollano López - traductor",Length: 10 hrs and 50 mins
Uncertain,By: Maggie Jackson,Length: 10 hrs and 46 mins
The Legend of Randidly Ghosthound 7,"By: Noret Flood, puddles4263",Length: 27 hrs and 53 mins
Wigglesworth on the Anointing,By: Smith Wigglesworth,Length: 6 hrs and 6 mins
